Title,Category,Project Link,Proposer,Student Availability,CM COMP30030 Difficulty,CS COMP30040 Difficulty,PhD potential,Thoughts
Face expression recognition,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55386,Ainur Begalinova,1 student,F,F,Yes,Not considered
Facial Expression Analysis and Recognition via Deep Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55030,Ke Chen,2 students,N,H,Yes,Not considered
Feature compression for analysing models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55244,Konstantin Korovin,1 student,H,H,Yes,Not considered
Future Robotics Autonomy: Computer Vision-Based Third-View Smart Robot Control and Operation,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55376,Philip Zhao,6 students,F,F,Yes,Not considered
Game Playing: Board or Card Games,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55219,Clare Dixon,5 students,F,F,No,Not considered
GPU-based simulations of spintronics-based neuromorphic components for next-generation intelligent computing,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55405,Christoforos Moutafis,3 students,H,H,Yes,Not considered
Gradient-Clipping at the Edge-Of-Stability,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55307,Anirbit Mukherjee,3 students,M,M,Yes,Not considered
Graph Embedding and Visualisation,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55346,Tingting Mu,3 students,H,H,Yes,Not considered
Graphical Models for Optimization,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55305,Jon Shapiro,2 students,C,C,No,Not considered
Guiding theorem prover for first-order logic using machine learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55240,Konstantin Korovin,1 student,H,H,Yes,Not considered
High-dimensional Data Embedding and Visualisation,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55347,Tingting Mu,3 students,H,H,Yes,Not considered
Human motion prediction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55387,Ainur Begalinova,1 student,F,F,Yes,Not considered
Humanoid Robot Control with Diffusion Models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55206,Mingfei Sun,2 students,C,C,Yes,Not considered
I will not let my brain stroke damage my life,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55093,Fumie Costen,1 student,C,C,Yes,Not considered
Identifying players in Broadcast sports videos,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55418,Aphrodite Galata,3 students,C,C,Yes,Not considered
Immersive NPC Interaction Design: Bridging the Gap Between Player Expectations and Industry Standards,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55044,Gareth Henshall,4 students,F,F,Yes,Not considered
Imprecise PAC-Bayes Bounds and their Applications to Label Shift Problems,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55365,Caprio Michele,2 students,F,F,Yes,Not considered
Improved simulated robot lab,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55218,Ian Pratt-hartmann,3 students,F,F,No,Not considered
Integrating the CARLA Autonomous Car Simulator with the RoTRA Highway Code tool.,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55087,Louise Dennis,1 student,M,M,Yes,Not considered
Interacting Ethical and Legal Considerations in Driverless Cars,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55088,Louise Dennis,1 student,H,C,No,Not considered
Interval Bayesian Deep Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55373,Caprio Michele,2 students,F,F,Yes,Not considered
Is my brain younger than my age ?,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55094,Fumie Costen,1 student,C,C,Yes,Not considered
Knowledge Graph Construction and Application,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55097,Jiaoyan Chen,6 students,F,F,Yes,Not considered
Knowledge Inference & Data Mining using FCA,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55176,Francisco Lobo,2 students,F,F,No,Not considered
Learnable Agent for Video Game Playing,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55033,Ke Chen,2 students,N,H,Yes,Not considered
Legal Question Answering,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55288,Bijan Parsia,8 students,F,F,Yes,Not considered
ML4Drone Project 1: Reinforcement Learning for Quadrotor Control Performance Improvement,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55354,Wei Pan,1 student,C,C,Yes,Not considered
ML4Drone Project 2: Safe Reinforcement Learning for Drones Control with Obstacle Avoidance,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55355,Wei Pan,1 student,C,C,Yes,Not considered
ML4Drone Project 3: Robust Reinforcement Learning for Drones Control under Gusting Conditions,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55356,Wei Pan,1 student,C,C,Yes,Not considered
ML4Drone Project 4: Secure Reinforcement Learning for Drones Control under Cyber Attack,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55357,Wei Pan,1 student,C,C,Yes,Not considered
ML4Drone Project 5: Multi-Agent Reinforcement Learning for Multiple Quadrotors Control,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55358,Wei Pan,1 student,C,C,Yes,Not considered
"Multi-Agent Coordination and Cooperation using Landmarks, Centroids, and Minimum Covering States",Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55325,Ramon Fraga Pereira,2 students,M,M,No,Not considered
"Multi-Agent Coordination and Cooperation using Landmarks, Centroids, and Minimum Covering States",Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55325,Ramon Fraga Pereira,2 students,M,M,No,Not considered
No more  Alzheimer's disease,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55095,Fumie Costen,6 students,C,C,Yes,Not considered
Optimisation and verification of systems represented using machine learning models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55247,Konstantin Korovin,2 students,H,H,Yes,Not considered
Pattern Classification of Stock Price Moving,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55146,Xiao-jun Zeng,1 student,F,F,No,Not considered
Pedestrian Crossing Monitor,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55294,Terry Morley,2 students,F,F,No,Not considered
Physics-Constrained Credal Deep Bayesian Learning for Autonomous Driving,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55372,Caprio Michele,2 students,F,F,Yes,Not considered
Predicting neutron source reliability at ISIS using machine learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55211,Tom Thomson,2 students,H,C,No,Not considered
Privacy-preserving Electricity Consumption Prediction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55316,Mustafa Mustafa,2 students,F,F,Yes,Not considered
Procedural Content Generation for Video Game Development,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55034,Ke Chen,2 students,N,H,Yes,Not considered
Pruning and Quantisation of Robust Neural Networks,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55403,Edoardo Manino,2 students,F,F,Yes,Not considered
Quantum Conformal Prediction,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55362,Caprio Michele,2 students,F,F,Yes,Not considered
Robot grasp stability estimation,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55382,Ainur Begalinova,1 student,F,F,Yes,Not considered
Robot learning by demonstration,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55383,Ainur Begalinova,1 student,F,F,Yes,Not considered
Robust Planning in Real and Realistic Domain Models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55324,Ramon Fraga Pereira,2 students,F,F,No,Not considered
Robust Variational Inference via Imprecise Probabilities,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55366,Caprio Michele,2 students,F,F,Yes,Not considered
Runtime Verification for Algorithmic Bias,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55089,Louise Dennis,1 student,H,C,Yes,Not considered
Sign language recognition using Deep Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55384,Ainur Begalinova,1 student,F,F,Yes,Not considered
Solving Combinatorial Problems with Reinforcement Learning in Mujoco Simulator,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55207,Mingfei Sun,4 students,M,M,Yes,Not considered
The Role of Bias/Variance in Machine Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55027,Gavin Brown,1 student,H,H,Yes,Not considered
The Role of Diversity in Ensemble Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55028,Gavin Brown,1 student,H,H,Yes,Not considered
The use of Machine Learning for Intention Selection in BDI Agents,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55090,Louise Dennis,1 student,H,C,Yes,Not considered
Thompson Sampling in Monte Carlo Tree Search,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55308,Jon Shapiro,2 students,C,H,Yes,Not considered
Tie-Break Strategies for Heuristic Search in Cyclic and Non-Cyclic AND/OR Graphs,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55323,Ramon Fraga Pereira,2 students,C,C,Yes,Not considered
Time Series Forecasting with Machine Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55041,Ke Chen,2 students,N,H,Yes,Not considered
Two-player games on mobile device,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55214,Ian Pratt-hartmann,4 students,F,F,No,Not considered
Using Runtime Monitoring to Control Reinforcement Learning,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55091,Louise Dennis,1 student,H,C,No,Not considered
Verification of New Behaviours for An Autonomous Robotic Assistant,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55220,Clare Dixon,2 students,H,H,Yes,Not considered
Visual Drone Detector,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55296,Terry Morley,2 students,F,F,No,Not considered
What happens to me; I got Brain cancer,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55096,Fumie Costen,1 student,C,C,Yes,Not considered
What was the question again? Adversarial attacks on large language models,Artificial Intelligence,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55402,Edoardo Manino,2 students,F,F,Yes,Not considered
A Lego-like Language for Teaching Beginners Programming,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55126,Kung-kiu Lau,3 students,F,F,No,Not considered
A Lego-like Language for Teaching Beginners Programming,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55127,Kung-kiu Lau,3 students,F,F,No,Not considered
A Mars Rover themed Primary School Programming activity for Robot Inventor.,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55081,Louise Dennis,1 student,M,M,No,Not considered
A Science Communication Demonstration using a NAO Robot,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55082,Louise Dennis,2 students,F,F,No,Not considered
"A Teaching Tool for JASON, a BDI Agent Framework",Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55169,Thomas Carroll,1 student,F,F,No,Not considered
"A Teaching Tool for JASON, a BDI Agent Framework",Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55169,Thomas Carroll,1 student,F,F,No,Not considered
A Teaching Tool for your favourite CS Topic,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55175,Thomas Carroll,3 students,F,F,No,Not considered
Animations for Teaching Concepts in Computer Hardware,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55187,Paul Nutter,1 student,H,F,No,Not considered
From graphical finite state machines to a hardware implementation,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55200,Paul Nutter,1 student,H,C,No,Not considered
Maths beyond numbers - mathematical education app,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55179,Andrea Schalk,2 students,C,C,No,Not considered
Teaching demonstrations,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55268,Jim Garside,2 students,F,F,No,Not considered
Tool to generate displays to illustrate probability and Bayes rule by using whole numbers.,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55303,Jon Shapiro,2 students,M,S,No,Not considered
WebGL Educational Tool,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55253,David Petrescu,1 student,F,F,No,Not considered
Your idea for a blended learning support tool,Teaching Tools,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55178,Andrea Schalk,2 students,C,C,No,Not considered
A graphics processor,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55263,Jim Garside,3 students,C,F,No,Not considered
Accelerating Network Visualisation with GPU,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55170,Thomas Carroll,2 students,F,F,Yes,Not considered
Accelerating Sequence Alignment with GPU,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55171,Thomas Carroll,2 students,F,F,Yes,Not considered
Adapting a Robot Simulator to include 4tronix's Pi2Go2,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55083,Louise Dennis,1 student,M,M,No,Not considered
Edge instrumentation systems using dedicated microcontroller boards,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55070,Tom Thomson,1 student,H,C,No,Not considered
Efficient multicast in neuromorphic hardware,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55396,Davide Bertozzi,1 student,H,C,Yes,Not considered
Environmental Monitoring,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55196,Paul Nutter,1 student,C,F,No,Not considered
Extending the RISC-V,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55269,Jim Garside,2 students,C,F,No,Not considered
Have a rummage in the library,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55186,Paul Nutter,2 students,C,F,No,Not considered
Implementing dynamic deep neural networks on the NVDLA deep learning accelerator,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55392,Davide Bertozzi,1 student,H,C,Yes,Not considered
Instrument control programming using LabView,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55074,Tom Thomson,1 student,H,C,No,Not considered
My Little Computer,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55265,Jim Garside,4 students,C,F,No,Not considered
Network interface for the NVDLA deep learning accelerator,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55393,Davide Bertozzi,1 student,N,H,Yes,Not considered
Operating System Development: Contributing to the Unikraft Unikernel,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55068,Pierre Olivier,1 student,H,H,Yes,Not considered
Raspberry Pi based Intelligent controller,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55077,Tom Thomson,1 student,C,C,No,Not considered
Reliability assessment of NVDLA deep learning accelerator,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55391,Davide Bertozzi,1 student,H,C,Yes,Not considered
Shush! I'm trying to work!,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55197,Paul Nutter,1 student,F,F,No,Not considered
The automated scarecrow,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55072,Tom Thomson,2 students,H,C,No,Not considered
The Unstoppable Robot,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55194,Paul Nutter,1 student,F,F,No,Not considered
Widgets,Hardware and Peripherals,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55267,Jim Garside,3 students,F,F,No,Not considered
An intuitive interface for a class of sophisticated interpolating curves,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55233,Joseph Razavi,1 student,F,F,No,Not considered
Collaborative and Cooperative Physical Activity Tracking,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55228,Markel Vigo,1 student,F,F,Yes,Not considered
Exploring Human-AI Interaction: Bridging the Gap Between Users and Intelligent Systems,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55377,Philip Zhao,2 students,F,F,Yes,Not considered
Immersive VR Art Gallery,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55201,David Petrescu,4 students,F,F,No,Not considered
Immersive VR Art Gallery,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55201,David Petrescu,5 students,F,F,No,Not considered
Interacting with Predictions on Physical Activity Tracking Systems,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55224,Markel Vigo,1 student,F,F,Yes,Not considered
Measuring pupil responses to real and imagined audio,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55256,Sarah Clinch,1 student,H,C,Yes,Not considered
Physical Activity Tracking at the Workplace,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55225,Markel Vigo,1 student,F,F,Yes,Not considered
Real-time hand tracking,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55427,Aphrodite Galata,1 student,C,C,No,Not considered
Recognition of Shapes and Handwriting for Collaborative Working,Human-Computer Interaction,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55295,Terry Morley,2 students,F,F,Yes,Not considered
Online discussion of Aphantasia and Hyperphantasia,Natural Language processing,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55255,Sarah Clinch,1 student,F,F,Yes,Not considered
A projectional editor for Adga proofs,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55234,Joseph Razavi,1 student,F,F,No,Not considered
A Rule-Based Abstraction of an Autonomous Driving System,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55311,Youcheng Sun,1 student,H,H,Yes,Not considered
Abstract models of recursion,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55182,Andrea Schalk,1 student,H,H,No,Not considered
An interactive sentence editor for Combinatory Categorical Grammars,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55231,Joseph Razavi,1 student,F,F,No,Not considered
Automated Reasoning for Modal Logics,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55221,Clare Dixon,2 students,C,C,Yes,Not considered
Breaking symmetries in propositional logic,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55238,Konstantin Korovin,1 student,H,H,Yes,Not considered
Decidable fragments of first-order logic,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55249,Konstantin Korovin,1 student,H,H,Yes,Not considered
Distributional analysis of syllogisms,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55215,Ian Pratt-hartmann,2 students,F,F,No,Not considered
Efficient Caching of SMT Queries in Bounded Model Checking,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55051,Lucas Cordeiro,1 student,C,C,No,Not considered
Efficient CNF transformation in frist-order logic,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55250,Konstantin Korovin,1 student,H,H,No,Not considered
Efficient solver for Quantified Boolen Logic (QBF),Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55239,Konstantin Korovin,1 student,H,H,Yes,Not considered
Exploring a model for sequential computation based on graph games,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55284,Andrea Schalk,1 student,H,H,Yes,Not considered
Extending the ksmt solver for solving non-linear constraints,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55246,Konstantin Korovin,1 student,N,H,Yes,Not considered
Integration and Evaluation of a String Solver to Verify C Programs,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55052,Lucas Cordeiro,1 student,M,M,No,Not considered
Integration of SMT solves into iProver,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55245,Konstantin Korovin,1 student,H,H,Yes,Not considered
Logical relations as a tool in denotational semantics,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55180,Andrea Schalk,1 student,H,H,No,Not considered
Making automated theorem provers interactive  to help mathematicians,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55242,Konstantin Korovin,1 student,H,H,Yes,Not considered
Modelling the simply typed lambda calculus,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55181,Andrea Schalk,1 student,H,H,No,Not considered
Orienting equations using the Knuth-Bendix ordering,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55243,Konstantin Korovin,1 student,H,H,Yes,Not considered
Refactoring FRETish Requirements,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55328,Marie Farrell,1 student,C,C,Yes,Not considered
Run-time Verification meets Software Model Checking,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55060,Lucas Cordeiro,1 student,C,C,No,Not considered
SAT solvers for procedural tilemap generation,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55236,Joseph Razavi,1 student,F,F,No,Not considered
Solving hard combinatorial problems using SAT solvers,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55241,Konstantin Korovin,1 student,H,H,Yes,Not considered
Solving the Electric Vehicle Routing Problem,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55165,Francisco Lobo,2 students,F,F,No,Not considered
Solving the Wind Farm Layout Problem,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55166,Francisco Lobo,2 students,F,F,No,Not considered
Solving Water Distribution Network Problems,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55167,Francisco Lobo,2 students,F,F,No,Not considered
Specification Clones,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55329,Marie Farrell,1 student,C,C,Yes,Not considered
Using logic tools to create a game based on making logical assertions,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55237,Joseph Razavi,1 student,F,F,No,Not considered
Verifying Control Software in Unmanned Aerial Vehicles,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55054,Lucas Cordeiro,2 students,M,M,No,Not considered
Visualising Combinatory Categorical Grammars to make a language learning tool,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55230,Joseph Razavi,1 student,F,F,No,Not considered
Walking on words,Formal Systems,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55216,Ian Pratt-hartmann,2 students,F,F,No,Not considered
The Intention Progression Problem,General and domain specific language development,http://studentnet.cs.manchester.ac.uk/ugt/year3/project/projectbookdetails.php?projectid=55147,Louise Dennis,1 student,H,C,Yes,Not considered
